페미위키 링크	이름	공식명칭	지역	분류	학교	홈페이지	인스타그램	페이스북	링크트리	트위터	연대단위	현재투쟁중	활동중지발표
https://femiwiki.com/?curid=76673	#Rights	서울과학기술대학교 여성학회 #Rights	서울	페미니즘	서울과학기술대학교					https://twitter.com/hashtag_rights			
https://femiwiki.com/?curid=76675	2025 3.8 여성파업조직위원회			페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=36256	BDS Korea	팔레스타인평화연대 - BDS Korea		페미니즘, 평화		https://pal.or.kr/wp/				https://x.com/pps_kr	팔레스타인과 연대하는 한국 시민사회 긴급행동		
https://femiwiki.com/?curid=76677	BTF	호원대학교 페미니즘 소모임 BTF	군산	페미니즘	호원대학교					https://twitter.com/builttofeminism			
https://femiwiki.com/?curid=3100	BWAVE												
https://femiwiki.com/?curid=76678	CUKQ	가톨릭대학교 성소수자모임 CUKQ	서울	퀴어	가톨릭대학교					https://x.com/Cuk_Qs			
https://femiwiki.com/?curid=76679	Decolonizing Korean Studies Collective			페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76680	F;ACT	전남대학교 페미니스트 모임 F;ACT	광주	페미니즘	전남대학교					https://twitter.com/jnu_Fact			
https://femiwiki.com/?curid=76681	FM419	덕성여자대학교 페미니즘 준동아리 FM419	서울	페미니즘	덕성여자대학교						윤석열 OUT 성차별 OUT 페미니스트들,젠더폭력 해결을 위한 페미니스트 연대		
https://femiwiki.com/?curid=76682	FOF	중앙대학교 중앙대학교 페미니스트 연합 FOF	서울	페미니즘	중앙대학교		https://instagram.com/femi_in_cau						
https://femiwiki.com/?curid=76683	FUQ	중앙대학교 페미니스트&퀴어 공동체 FUQ	서울	페미니즘,퀴어	중앙대학교					https://twitter.com/caufuq			
https://femiwiki.com/?curid=76684	FWD	페미니스트 연구 웹진 FWD		페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76685	GALAXY	이화여대 성소수자 모임 GALAXY	서울	퀴어	이화여자대학교					https://x.com/ewhagalaxy			
https://femiwiki.com/?curid=76686	GPS	성신여대 래디컬 페미니즘 동아리 GPS	서울	페미니즘	성신여대					https://x.com/SSWU_GPS			
https://femiwiki.com/?curid=76687	IRIS	세종대학교 성소수자 모임 IRIS	서울	퀴어	세종대학교					https://x.com/IRIS_sejong			
https://femiwiki.com/?curid=76688	NOON	성신여자대학교 여성주의 동아리 NOON	서울	페미니즘	성신여자대학교					https://twitter.com/femininoon			
https://femiwiki.com/?curid=38438	QUV	대학성소수자모임연대 QUV		퀴어	*								
https://femiwiki.com/?curid=76689	Q사디아	한국외국어대학교 성소수자 모임 Q사디아	서울	퀴어	한국외국어대학교					https://twitter.com/hufs_qsadia			
https://femiwiki.com/?curid=33991	SFA	숙명여대 중앙여성학동아리 SFA	서울	페미니즘	숙명여자대학교		https://www.instagram.com/sookmyung.sfa/						
https://femiwiki.com/?curid=76690	SHAF	서울대학교 래디컬 페미니즘 동아리 샤프 SHAF	서울	페미니즘	서울대학교						윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76691	SKKU페미니즘연구모임			페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76692	speQtrum	지스트 성소수자 모임 speQtrum	광주	퀴어	지스트					https://twitter.com/GIST_speQtrum			
https://femiwiki.com/?curid=76693	SWIFT	여성주의 사회복지 연구모임 SWIFT		페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76694	SwuQ	서울여자대학교 성소수자 인권운동모임 SwuQ	서울	퀴어	서울여자대학교					https://twitter.com/swuqueer			
https://femiwiki.com/?curid=76695	UFO	UFO(Unidentified Feminism Opinions)		페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=4011	WOO(여성 디자이너 정책 연구모임)			페미니즘									
https://femiwiki.com/?curid=45504	WTF	동덕여자대학교 페미니즘 동아리 WTF	서울	페미니즘	동덕여자대학교					https://twitter.com/dongduk_wtf			
https://femiwiki.com/?curid=76697	가치	숙명여대 공익인권학술동아리 가치	서울	페미니즘	숙명여자대학교		https://www.instagram.com/gachi_608/			https://x.com/gachi_608	윤석열 OUT 성차별 OUT 페미니스트들,젠더폭력 해결을 위한 페미니스트 연대		
https://femiwiki.com/?curid=76698	강릉여성의전화			페미니즘		http://gnwhotline.or.kr/							
https://femiwiki.com/?curid=76699	강화여성의전화			페미니즘		 https://khwomens.modoo.at/							
https://femiwiki.com/?curid=2875	걸스로봇												
https://femiwiki.com/?curid=3976	게더링 에이												
https://femiwiki.com/?curid=76700	경기여성단체연합		경기	페미니즘		http://cafe.daum.net/kgwomen21					한국여성단체연합		
https://femiwiki.com/?curid=76701	경남여성단체연합		경남	페미니즘		http://www.gwau.or.kr/					한국여성단체연합		
https://femiwiki.com/?curid=76702	경남여성회		경남	페미니즘		http://www.gnwomen.com/					한국여성단체연합		
https://femiwiki.com/?curid=76703	경주여성노동자회		경주	페미니즘, 노동							여성노동연대회의		
https://femiwiki.com/?curid=76704	계명대학교 여성학연구소			페미니즘	계명대학교	http://www.iws.or.kr/							
https://femiwiki.com/?curid=76705	고려대 반성폭력 연대 회의 		서울	페미니즘	고려대학교			https://www.facebook.com/qkstjddus					
https://femiwiki.com/?curid=76706	고려대학교 생활도서관		서울	페미니즘			https://www.instagram.com/lifeof.kulifelibrary/				윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76707	고려대학교 여학생위원회		서울		고려대학교	http://kufeminism.net				https://x.com/ku_feminism			
https://femiwiki.com/?curid=76954	고양여성민우회		고양	페미니즘				https://www.facebook.com/gpminwoowomenlink					
https://femiwiki.com/?curid=76708	고잉페미호	동국대학교 북한학과 여성주의 소모임 고잉페미호	서울	페미니즘	동국대학교		https://instagram.com/keep_going_feminism						
https://femiwiki.com/?curid=76709	공갈단	공주대학교 여성주의 소모임 공갈단	공주	페미니즘	공주대학교						윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76710	공해	서울대학교 공과대학 페미니즘 동아리 공해	서울	페미니즘	서울대학교			https://www.facebook.com/pollutionfeminism					
https://femiwiki.com/?curid=17322	관악의 페미들	서울대학교 페미니즘 모임 지금, 여기 : 관악의 페미들	서울	페미니즘	서울대학교			https://www.facebook.com/gwanakfemi		https://twitter.com/gwanakfemi			
https://femiwiki.com/?curid=76712	광명여성의전화			페미니즘		https://www.kmwhl.org/							
https://femiwiki.com/?curid=76955	광주녹색당		광주	기후정의				https://www.facebook.com/gjgreenparty/					
https://femiwiki.com/?curid=76713	광주여성노동자회		광주	페미니즘, 노동							여성노동연대회의		
https://femiwiki.com/?curid=76714	광주여성의전화			페미니즘		http://www.gjhotline.org							
https://femiwiki.com/?curid=76715	광주전남여성단체연합		전남	페미니즘				https://www.facebook.com/profile.php?id=100076661051915			한국여성단체연합		
https://femiwiki.com/?curid=76716	군산여성의전화			페미니즘		https://gunsan-whl.campaignus.me/							
https://femiwiki.com/?curid=76717	기독여민회			페미니즘							한국여성단체연합		
https://femiwiki.com/?curid=76718	기본소득당 여성위원회	기본소득당 여성위원회		페미니즘							윤석열 OUT 성차별 OUT 페미니스트들,젠더폭력 해결을 위한 페미니스트 연대		
https://femiwiki.com/?curid=76719	김포여성의전화			페미니즘		http://www.kpwhl.or.kr							
https://femiwiki.com/?curid=76720	김해여성의전화			페미니즘		https://ghhotline.modoo.at/							
https://femiwiki.com/?curid=76721	남다른성교육연구소			페미니즘							윤석열 OUT 성차별 OUT 페미니스트들,젠더폭력 해결을 위한 페미니스트 연대		
https://femiwiki.com/?curid=61722	남성과함께하는페미니즘			페미니즘							윤석열 OUT 성차별 OUT 페미니스트들,젠더폭력 해결을 위한 페미니스트 연대		
https://femiwiki.com/?curid=76722	녀성동맹	동국대학교 북한학과 페미니즘소모임 녀성동맹	서울	페미니즘	동국대학교						젠더폭력 해결을 위한 페미니스트 연대		
https://femiwiki.com/?curid=76723	노고지리	서강대학교 인권실천모임 노고지리	서울	페미니즘	서강대학교	https://nogojirisogang.wordpress.com/					윤석열 OUT 성차별 OUT 페미니스트들,젠더폭력 해결을 위한 페미니스트 연대		
https://femiwiki.com/?curid=76724	노동당 여성위원회(준)			페미니즘							윤석열 OUT 성차별 OUT 페미니스트들,젠더폭력 해결을 위한 페미니스트 연대		
https://femiwiki.com/?curid=76725	노동인권실현을 위한 노무사모임 여성노동인권분과			페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76726	노라	덕성여자대학교 여성주의 소모임 노라	서울	페미니즘	덕성여자대학교					https://twitter.com/nora_feminist			
https://femiwiki.com/?curid=72591	노원여성회		서울	페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76727	녹색당 여성위원회			페미니즘							윤석열 OUT 성차별 OUT 페미니스트들,젠더폭력 해결을 위한 페미니스트 연대		
https://femiwiki.com/?curid=6534	녹지	중앙대학교 여성주의 교지 녹지	서울	페미니즘	중앙대학교			https://www.facebook.com/nocji.cau		https://twitter.com/cau_nocji	윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76728	녹큐	서울예술대학교 성소수자 인권동아리 녹큐	서울	퀴어	서울예술대학교					https://twitter.com/knockontheq			
https://femiwiki.com/?curid=76729	뉴디폴트 레인보우 클럽			페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=22682	달	서울대학교 페미니즘 동아리 달	서울	페미니즘	서울대학교		https://www.instagram.com/lalune.snu/	https://www.facebook.com/lalunefeminist	https://linktr.ee/lalune.snu	https://x.com/lalunefeminist	윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76730	달해	경희대학교 한의과대학 성평등위원회 달해	서울	페미니즘	경희대학교		https://www.instagram.com/khkm_dalhae/	https://www.facebook.com/dalhaedalhae/?locale=ko_KR			윤석열 OUT 성차별 OUT 페미니스트들,젠더폭력 해결을 위한 페미니스트 연대		
https://femiwiki.com/?curid=76731	닻별	성균관대학교 여성주의 모임 닻별	서울	페미니즘	성균관대학교			https://www.facebook.com/anchorfemi					
https://femiwiki.com/?curid=76956	대구경북여성단체연합		경북								한국여성단체연합		
https://femiwiki.com/?curid=76732	대구여성노동자회		대구	페미니즘, 노동							여성노동연대회의		
https://femiwiki.com/?curid=76733	대구여성의전화			페미니즘		https://www.dwhotline.or.kr/							
https://femiwiki.com/?curid=76734	대구여성회		대구	페미니즘		http://www.daeguwomen21.or.kr/					한국여성단체연합		
https://femiwiki.com/?curid=76735	대전여민회		대전	페미니즘		http://www.tjwomen.or.kr/					한국여성단체연합		
https://femiwiki.com/?curid=73395	대전여성단체연합		대전	페미니즘		https://www.dwau.co.kr/					한국여성단체연합		
https://femiwiki.com/?curid=76736	돌곶이 포럼	한국예술종합학교 돌곶이포럼	서울	페미니즘	한국예술종합학교						윤석열 OUT 성차별 OUT 페미니스트들,젠더폭력 해결을 위한 페미니스트 연대		
https://femiwiki.com/?curid=76737	동덕여대 졸업생 연대		서울	페미니즘	동덕여자대학교						윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76738	동서울여성회		서울	페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=3471	두레방												
https://femiwiki.com/?curid=76739	들불	공학여대생연대모임 들불		페미니즘	*						윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76957	디스웨이									https://x.com/thisway_us			
https://femiwiki.com/?curid=3028	디지털 성범죄 아웃(DSO)			페미니즘									
https://femiwiki.com/?curid=76740	레드북클럽	명지대 페미니즘 모임 레드북클럽 동문	서울	페미니즘	명지대학교						윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=1079	레디즘												
https://femiwiki.com/?curid=76741	레인보우피쉬	중앙대학교 성소수자동아리 레인보우피쉬	서울	퀴어	중앙대학교					https://twitter.com/RainbowFish_CAU			
https://femiwiki.com/?curid=76742	레주파			퀴어						https://x.com/lezpa_twt			
https://femiwiki.com/?curid=28252	로리타펀치												
https://femiwiki.com/?curid=76743	로제	전남대학교 여성주의소모임 로제	광주	페미니즘	전남대학교					https://twitter.com/jnuROGE			
https://femiwiki.com/?curid=76901	마고	카이스트 여성주의 연구회 <마고>	대전	페미니즘	카이스트			https://www.facebook.com/profile.php?id=100070106304007					
https://femiwiki.com/?curid=76744	마산창원여성노동자회		마산창원	페미니즘, 노동							여성노동연대회의		
https://femiwiki.com/?curid=76745	막달레나공동체			페미니즘		http://magdalena.or.kr/							
https://femiwiki.com/?curid=11499	말보라단												
https://femiwiki.com/?curid=76746	모여	성균관대학교 율전 여성주의 모임 모여	수원	페미니즘	성균관대학교			https://www.facebook.com/skku.fm					
https://femiwiki.com/?curid=76747	목포여성의전화			페미니즘		http://mokpohotline.org							
https://femiwiki.com/?curid=76958	무소의 뿔	서울여자대학교 레디컬 페미니즘 동아리 무소의 뿔	서울	페미니즘	서울여자대학교					https://x.com/swuradfem			
https://femiwiki.com/?curid=76748	문화미래 이프			페미니즘		http://www.onlineif.com							
https://femiwiki.com/?curid=76749	민주노총 공공운수노조 전국대학원생노동조합지부 성평등위원회			페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76750	민주노총 여성위원회			페미니즘							젠더폭력 해결을 위한 페미니스트 연대		
https://femiwiki.com/?curid=9038	믿는페미			페미니즘									
https://femiwiki.com/?curid=76751	바람	인권운동네트워크 바람		페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76959	박.하.여.행	대한민국의 민주주의를 부정한 박근혜 대통령의 하야와 사회운동내의 성차별을 바꾸기 위한 여성주의자들의 행동		페미니즘				https://www.facebook.com/hayafeminist/					
https://femiwiki.com/?curid=76752	반니	반성폭력 운동하는 언니들 반니		페미니즘							윤석열 OUT 성차별 OUT 페미니스트들,젠더폭력 해결을 위한 페미니스트 연대		
https://femiwiki.com/?curid=76753	백마 탄 암탉님	숭실대학교 숭실대학교 페미니즘 소모임 백마 탄 암탉님	서울	페미니즘	숭실대학교		https://www.instagram.com/_kkokkio/			https://twitter.com/kkokkiossu			
https://femiwiki.com/?curid=7247	범페미네트워크			페미니즘									
https://femiwiki.com/?curid=76754	변태소녀 하늘을 날다	이화여자대학교 레즈비언인권운동모임 변태소녀 하늘을 날다	서울	퀴어	이화여자대학교	https://m.blog.naver.com/PostList.naver?blogId=ewhabyunnal	https://www.instagram.com/ewhabyunnal/?hl=ko			https://twitter.com/ewhabyunnal			
https://femiwiki.com/?curid=76755	별조각 용사단			페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76756	보라	경기대학교 여성주의 모임 보라	수원	페미니즘	경기대학교					https://twitter.com/kgu_bora			
https://femiwiki.com/?curid=1905	봄알람												
https://femiwiki.com/?curid=76757	부산대학교 여성연구소			페미니즘	부산대학교	http://women.pusan.ac.kr/							
https://femiwiki.com/?curid=76758	부산성폭력상담소		부산	페미니즘		http://wopower30.or.kr/					한국여성단체연합		
https://femiwiki.com/?curid=76759	부산여성단체연합		부산	페미니즘		http://www.xn--2y1b85n7tc0oy75e.com/					한국여성단체연합		
https://femiwiki.com/?curid=76760	부산여성의전화			페미니즘		http://www.pwhl.or.kr							
https://femiwiki.com/?curid=76761	부산여성회			페미니즘,노동							여성노동연대회의		
https://femiwiki.com/?curid=28320	부산페미네트워크			페미니즘									
https://femiwiki.com/?curid=76762	부천새시대여성회			페미니즘							윤석열 OUT 성차별 OUT 페미니스트들,젠더폭력 해결을 위한 페미니스트 연대		
https://femiwiki.com/?curid=76763	부천여성노동자회		부천	페미니즘, 노동							여성노동연대회의		
https://femiwiki.com/?curid=76764	부천여성의전화			페미니즘		https://bwhotline.or.kr							
https://femiwiki.com/?curid=1972	불꽃페미액션			페미니즘							윤석열 OUT 성차별 OUT 페미니스트들,젠더폭력 해결을 위한 페미니스트 연대		
https://femiwiki.com/?curid=76765	비컴트루	광주광역시 비혼여성공동체 비컴트루		페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76766	빵과장미	변혁적여성운동네트워크 빵과장미		페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76767	사람과사람	고려대학교 성소수자 동아리 사람과사람	서울	퀴어	고려대학교					https://twitter.com/kueerp2p			
https://femiwiki.com/?curid=76768	새움터			페미니즘							한국여성단체연합		
https://femiwiki.com/?curid=76769	서대문여성회(준)		서울	페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76770	서울강서양선여성의전화			페미니즘		http://www.womengo.org							
https://femiwiki.com/?curid=5117	서울국제여성영화제			페미니즘		http://www.siwff.or.kr							
